size, linear, quadratic
10,0.530637026,0.128230989
30,0.092271984,0.138016999
50,0.07980603,0.305444002
100,0.091672003,0.418329
200,0.090992033,2.490779042
300,0.087368965,0.979453981
400,0.100601017,1.253954947
700,0.117383003,3.612374008
1000,0.256260991,7.760811985
5000,0.561005056,258.070222
10000,1.32427001,1045.955682
15000,0.757028997,2542.569181
20000,0.981305003,4978.346328
25000,1.39981997,7688.715671
30000,1.408949018,11660.37033
35000,2.137778997,15625.84944
40000,1.877259016,20003.03314
45000,2.418381035,25931.54231
50000,2.352432013,31170.89905
55000,2.890224993,37812.80422
60000,3.217095017,45650.3362
65000,3.424099028,51824.7068
70000,3.454029024,60450.96328
75000,3.480254948,66831.638
80000,3.850602984,74775.7437
85000,4.076848984,84885.07876
90000,4.310400009,98772.31308
95000,4.418687999,102726.5505
100000,4.938035011,117689.2582